simulation,total_cost,build_cost,inservice_cost
0,4050022.691355317,3909347.0947022685,140675.59665304824
1,3755390.7897008876,3610495.1801215163,144895.6095793713
2,4330201.741487619,4187653.788273624,142547.95321399526
3,5114855.666415939,4948938.295022288,165917.3713936506
4,4132971.350827841,3981515.4459215663,151455.90490627434
5,3890753.9093942875,3759439.8523678193,131314.057026468
6,4994599.327696206,4835158.93212014,159440.39557606628
7,4431734.058222833,4275905.646627904,155828.41159492885
8,3676123.296865795,3539253.529110636,136869.7677551588
9,4416438.791609511,4264570.590051249,151868.20155826205
10,3750289.975382803,3609178.0449552014,141111.9304276016
11,3605155.578409938,3448353.051973595,156802.52643634385
12,3916815.166106779,3782897.4797614845,133917.686345295
13,2876229.277422919,2761113.10941984,115116.16800307826
14,2845155.8287873976,2717247.894659577,127907.93412782058
15,3744092.929571742,3613333.290771874,130759.63879986783
16,3142562.555708674,3024898.8582033804,117663.69750529366
17,4365068.696932429,4211805.122253349,153263.57467908075
18,3483600.9731550664,3359945.595065544,123655.37808952267
19,3274597.5730025666,3124694.1605353737,149903.41246719268
20,5309396.558571786,5122643.624421547,186752.93415023896
21,4005567.6173458877,3863178.860783219,142388.75656266947
22,4126983.273655427,3969227.6135127847,157755.66014264215
23,3117407.78102481,2985900.4844264677,131507.29659834268
24,3878900.4853105308,3742647.316267232,136253.16904329913
25,4240295.369385194,4078538.8816998047,161756.48768538947
26,3490891.344511144,3345172.3589163846,145718.98559475946
27,3956516.5624445155,3815781.3740310394,140735.18841347613
28,3517761.149206599,3389361.0748920804,128400.07431451893
29,3595380.0692220354,3459375.497592244,136004.5716297916
30,3704915.1967354817,3552379.609960559,152535.58677492352
31,5415178.466619198,5247317.506289381,167860.9603298182
32,4297910.045084018,4153259.2301713466,144650.81491267186
33,3190097.622245319,3071378.2617404503,118719.36050486857
34,4331231.571136252,4197215.308812261,134016.2623239911
35,3210531.4511246784,3090580.234917997,119951.21620668065
36,3962976.9933059816,3820376.8513152874,142600.14199069413
37,3034581.4652269008,2921851.1554451045,112730.30978179698
38,3270369.2349023186,3136018.2643030537,134350.97059926434
39,4346909.574901495,4185803.996246522,161105.5786549734
40,4649977.267193855,4504965.811481721,145011.45571213443
41,4056786.5263762753,3917688.5105835237,139098.01579275163
42,3789697.3034336707,3641740.990173593,147956.31326007796
43,3818825.7614046326,3679716.6946465205,139109.0667581121
44,2954176.1401125,2844531.030018986,109645.1100935134
45,3560804.6588129066,3431185.0380888972,129619.62072400904
46,3899439.0364823453,3758858.794720739,140580.241761606
47,4605251.577850362,4448260.923081013,156990.6547693484
