simulation,phase1_end,phase2_end,phase3_end,phase4_end,project_end
0,6.259101051235674,15.064265535177457,37.68518442435924,37.68518442435924,37.68518442435924
1,6.471140163596498,14.267119908657062,37.41513623419633,37.41513623419633,37.41513623419633
2,5.536005112192473,15.102869673758837,37.2374049102015,37.2374049102015,37.2374049102015
3,6.741021059769092,13.696712821433106,36.76962734066714,36.76962734066714,36.76962734066714
4,6.778124631719575,14.878412415700538,36.84490844112541,36.84490844112541,36.84490844112541
5,7.225957176464812,14.347029841600943,36.82737546372409,36.82737546372409,36.82737546372409
6,8.082750594553971,14.396097369908455,36.309723528819994,36.309723528819994,36.309723528819994
7,7.248462729909516,14.654251942508692,37.42476248280158,37.42476248280158,37.42476248280158
8,6.533165940373191,14.033021732648713,37.70091903105537,37.70091903105537,37.70091903105537
9,6.898845061224914,13.351403799539007,36.594076203268614,36.594076203268614,36.594076203268614
10,8.075459010085076,13.967517432300458,36.908276663947504,36.908276663947504,36.908276663947504
11,7.666852291381314,12.418759417484742,37.300743553953666,37.300743553953666,37.300743553953666
12,7.13981318172629,13.510779470951721,36.41296403083164,36.41296403083164,36.41296403083164
13,7.387919451874893,14.013710700931677,37.47954422548025,37.47954422548025,37.47954422548025
14,6.626817337950319,14.322407086959437,36.56262285572486,36.56262285572486,36.56262285572486
15,8.424165226933123,13.990305977124097,37.01286989857233,37.01286989857233,37.01286989857233
16,5.936093676740571,13.589948809018058,37.839586811485255,37.839586811485255,37.839586811485255
17,7.036454438938656,13.477881495809264,37.80101496656941,37.80101496656941,37.80101496656941
18,6.918237564676057,13.640178541897338,37.04892216856409,37.04892216856409,37.04892216856409
19,7.475137724183101,12.802951878905471,37.844897456436264,37.844897456436264,37.844897456436264
20,7.128089695277885,15.45191028541383,36.7450939867067,36.7450939867067,36.7450939867067
21,6.743711116600448,13.69818688107395,36.45806709107202,36.45806709107202,36.45806709107202
22,6.23183468162276,15.196898563352635,37.449682779775905,37.449682779775905,37.449682779775905
23,7.065435978966408,14.129219234068437,36.715047934410556,36.715047934410556,36.715047934410556
24,6.453270413158061,13.802078661925492,36.37532956937022,36.37532956937022,36.37532956937022
25,7.501042003273577,14.460118371185096,37.38497428136617,37.38497428136617,37.38497428136617
26,6.67863746924625,13.226106912070055,37.297123337414604,37.297123337414604,37.297123337414604
27,6.350009494894415,15.24038388829169,37.35718931668539,37.35718931668539,37.35718931668539
28,8.08869489050729,15.57065303522783,36.994910777338255,36.994910777338255,36.994910777338255
29,6.691016223475788,15.039979125419935,37.376130644945995,37.376130644945995,37.376130644945995
30,7.164295139554426,13.832239289707793,37.500666037072705,37.500666037072705,37.500666037072705
31,7.143392782831684,16.173613664245117,38.10876443516644,38.10876443516644,38.10876443516644
32,7.246253818381173,15.218124029774538,37.70244620409574,37.70244620409574,37.70244620409574
33,6.914527519418382,13.327865009897609,37.26958401264562,37.26958401264562,37.26958401264562
34,5.77428973893227,14.916258235601251,38.05633746974383,38.05633746974383,38.05633746974383
35,5.627985345494169,13.280236631708796,37.341720299405324,37.341720299405324,37.341720299405324
36,7.137499514484801,15.27093766948072,36.46101336666893,36.46101336666893,36.46101336666893
37,5.710960353079056,14.404456000701007,37.060453881393,37.060453881393,37.060453881393
38,6.382305486271045,14.003056358225937,36.8737438656672,36.8737438656672,36.8737438656672
39,7.450331969957841,15.277127944454485,37.40441365594144,37.40441365594144,37.40441365594144
40,6.7571981477356164,13.692194542106638,37.89386620543714,37.89386620543714,37.89386620543714
41,6.896549685690387,13.413854066836862,37.33434250894219,37.33434250894219,37.33434250894219
42,5.93664333055122,13.92439570536384,37.35109615624411,37.35109615624411,37.35109615624411
43,7.151303099467747,13.401565153859107,36.82143635848406,36.82143635848406,36.82143635848406
44,6.649602149372284,13.236093363615979,37.66969561025565,37.66969561025565,37.66969561025565
45,6.486385763797539,13.29163646430763,36.630305932623486,36.630305932623486,36.630305932623486
46,6.818138695717177,13.992203326062914,36.619602774240654,36.619602774240654,36.619602774240654
47,6.9968721422648565,13.212332996511165,37.4971311922075,37.4971311922075,37.4971311922075
48,6.596780559302227,13.808253776505843,36.9249214390188,36.9249214390188,36.9249214390188
49,8.100342574649588,14.061184575495766,37.443535945551815,37.443535945551815,37.443535945551815
50,6.25033892001468,13.887806258808153,36.907721037273426,36.907721037273426,36.907721037273426
51,7.796850117215683,13.549721564326788,36.6527739271057,36.6527739271057,36.6527739271057
52,6.3311249164314924,14.471275718351448,36.830674227078376,36.830674227078376,36.830674227078376
53,8.044039771457168,14.594584648660968,37.27852234066399,37.27852234066399,37.27852234066399
54,6.952999900634661,14.004102682330455,37.073311070997654,37.073311070997654,37.073311070997654
55,6.509270343164104,13.852452436804485,36.89268034983281,36.89268034983281,36.89268034983281
56,6.333102253493812,13.951458421767237,36.547394647177526,36.547394647177526,36.547394647177526
57,6.875991944269529,14.007197432591857,37.53210718577399,37.53210718577399,37.53210718577399
58,7.903295727301333,13.506315163668221,37.118147705782704,37.118147705782704,37.118147705782704
59,6.628419823417641,14.629609054011812,37.14327566356863,37.14327566356863,37.14327566356863
60,6.433811994368729,14.467194679338332,37.12540129813696,37.12540129813696,37.12540129813696
61,8.21173600000138,16.719119080894785,36.71827210934294,36.71827210934294,36.71827210934294
62,5.9947798257573535,14.059871626141891,36.523550351898045,36.523550351898045,36.523550351898045
63,8.767549702401292,12.956978541493394,36.66240980692687,36.66240980692687,36.66240980692687
64,6.345369586820203,13.650441708509055,36.44340179040119,36.44340179040119,36.44340179040119
65,6.694485287020596,12.845619342564989,36.98947610962613,36.98947610962613,36.98947610962613
66,6.378980454959844,14.34470603873666,37.575263692242885,37.575263692242885,37.575263692242885
67,7.1681567573962015,13.954093957806412,36.40622077919436,36.40622077919436,36.40622077919436
68,6.888987680319219,13.950827100343421,37.77591158531598,37.77591158531598,37.77591158531598
69,6.253357321665617,13.553947296792714,37.69397025363302,37.69397025363302,37.69397025363302
70,6.718494930461406,13.957425406029778,36.952593064480276,36.952593064480276,36.952593064480276
71,6.0838578683459374,13.117683790415073,37.24148248805356,37.24148248805356,37.24148248805356
72,6.569327610179298,14.78306574137332,37.692921021986145,37.692921021986145,37.692921021986145
73,5.036115935348567,14.894907145338006,37.01429756152435,37.01429756152435,37.01429756152435
74,5.765128883957018,12.852187922464704,36.717161757104186,36.717161757104186,36.717161757104186
75,7.9160678491458505,14.571021368655448,36.67452866015897,36.67452866015897,36.67452866015897
76,5.90430228872818,13.394306358648855,37.58754580030297,37.58754580030297,37.58754580030297
77,8.108027884246596,12.857140757016966,37.178080709331205,37.178080709331205,37.178080709331205
78,6.702170622673388,14.385696178609617,37.01421933762876,37.01421933762876,37.01421933762876
79,7.083722660675217,13.462648590761658,37.095932028350674,37.095932028350674,37.095932028350674
80,6.419686160460624,16.30042557448766,36.96708108234236,36.96708108234236,36.96708108234236
81,6.751104720331754,14.291206876587037,36.528094753675695,36.528094753675695,36.528094753675695
82,6.175304019944934,15.125313581028605,37.04621682736593,37.04621682736593,37.04621682736593
